our_code	producer_code	name	producer	quantity	price	ean
0PRAPE22	APE22	PRZEKAZNIK SWIAT.P/MG CARO,ATU,TRUCK +	POLONEZ/FSO	0	52,94	
0PREWZ	EWZ	PRZEKAZNIK SWIATEL ZWLOCZNY  CARO-OPOLE	POLONEZ/FSO	0	29,48	
0PRP-541/1	P-541/1	PRZEKAZNIK P-541 INPRODRUS	POLONEZ/FSO	1	20,51	
0PRP-541/AC	P-541/AC	PRZEKAZNIK SWIATEL AC BIALYST.P-541	POLONEZ/FSO	>30	7,50	5903022200289
0PRP-542/AC	P-542/AC	PRZEKAZNIK P-542 LADOWANIE+SYGN.AC BIALY	POLONEZ/FSO	14	10,23	5903022200326
0PRP-543	P-543	PRZEKAZNIK SWIATEL MALY P 543  INPRODUS.	POLONEZ/FSO	0	20,51	
0PRP-545INPR	P-545INPR	PRZEKAZNIK LADOW,SYG,WENT,CARO /ODP 542/	POLONEZ/FSO	0	20,51	
0PRP-561/AC	P-561/AC	PRZEKAZNIK SWIATEL DZIEN. P-561 AC BIALY	POLONEZ/FSO	>30	7,56	5903022200364
0PRP-563	P-563	PRZEKAZNIK WT.PALIWA+SW.DZIENPN CZARNY	POLONEZ/FSO	0	9,57	
0PRP-563IMP	P-563IMP	PRZEKAZNIK SWIATEL P-563 IMPRODUS	POLONEZ/FSO	0	17,05	
0PRS13	S13	PRZEWODY ZAPL.PN S.T. FSO SENTECH	POLONEZ/FSO	18	15,61	5900373800137
0PRS14	S14	PRZEWODY ZAPL.PN CARO SENTECH	POLONEZ/FSO	5	17,06	5900373800144
0PRS21	S21	PRZEWODY ZAPL PN ABIMEX SENTECH	POLONEZ/FSO	9	20,72	5900373800212
0PRS25	S25	PRZEWODY ZAPL PN BOSCH<97 SPI SENTECH	POLONEZ/FSO	17	20,72	5900373800250
0PRS26	S26	PRZEWODY ZAPL PN MPI SENTECH	POLONEZ/FSO	27	20,72	5900373800267
0PRT51-70	T51-70	PRZEKAZNIK SWIATEL STARY TYP ZUK FSO....	POLONEZ/FSO	0	27,34	
0PRT52-10	T52-10	PRZEKAZNIK SYGNALU ST.TYP ZUK FSO=T52-11	POLONEZ/FSO	1	25,52	
0PRT52-11	T52-11	PRZEKAZNIK SYGNALU ST.TYP ZUK FSO=T52-10	POLONEZ/FSO	1	27,34	
